business,slug,email,contact_name,status,source,notes
LESLA Alliance,lesla-alliance,info@leslaalliance.co.uk,LESLA Alliance team,verified_public,https://register-of-charities.charitycommission.gov.uk/en/charity-search/-/charity-details/5273857/full-print,Published by the Charity Commission
Archangelica,archangelica,,Archangelica team,no_public_email,https://www.archangelica.co.uk/,Website contact form only; unrelated site-builder addresses excluded
The Meatles,the-meatles,,The Meatles team,no_public_email,https://www.instagram.com/themeatles2023/,Instagram contact only
Street Food Kitchen,street-food-kitchen,Streetfoodkitchen79@hotmail.com,Street Food Kitchen team,verified_public,https://www.street-food-kitchen.co.uk/,Published on the official website
Impact Physio,impact-physio-long-eaton,contact@impactphysio.co.uk,Impact Physio team,verified_public,https://www.impactphysio.co.uk/fees/,Published on the official website
Chefs Cut Butchery,chefs-cut-butchery,info@chefscut.co.uk,Chefs Cut Butchery team,verified_public,https://www.chefscut.co.uk/contact-us,Published on the official contact page
Books on the Bridge,books-on-the-bridge,,Books on the Bridge team,no_public_email,https://www.instagram.com/booksonthebridge,Instagram contact only; similarly named bookshops excluded
Limas,limas-long-eaton,,Kenny and the Limas team,no_public_email,https://limas.uk/,Official website provides phone WhatsApp and contact form but no published email
Caffe-Inna,caffe-inna,,George and the Caffe-Inna team,no_public_email,https://www.instagram.com/caffeinna2025/,Instagram and telephone contact only
Bethany Rose Bridal,bethany-rose-bridal,Jo@bethanyrosebridal.co.uk,Jo,verified_public,https://bethanyrosebridal.co.uk/contact-us,Published on the official contact page
Mo' Mo',mo-mo-italian-dining,bookings.momonottingham@gmail.com,Mo' Mo' team,verified_public,https://www.momonottingham.co.uk/,Published on the official website
The Looking Glass,the-looking-glass-long-eaton,,The Looking Glass team,no_public_email,https://camra.org.uk/pubs/looking-glass-long-eaton-199991,No email value published; Instagram contact available
The Butchers Long Eaton,the-butchers-long-eaton,storemanager@ecmanufacturing.co.uk,The Butchers team,verified_public,https://www.thebutchers.co.uk/pages/contact,Published on the official contact page
Fleek Studio Aesthetics,fleek-studio-aesthetics,Info@fleek.studio,Sarah,verified_public,https://www.fleek.studio/contact,Published on the official contact page
Long Eaton Market,long-eaton-market,markets@erewash.gov.uk,Erewash Markets team,verified_public,https://www.erewash.gov.uk/businesses-and-licensing/markets-and-car-boot-sales/apply-stall,Published by Erewash Borough Council
DÜDL,dudl-coffee,dudlcoffee@gmail.com,DÜDL team,verified_public,https://www.dudlcoffee.co.uk/contact,Published on the official contact page
Transform Hub Long Eaton,transform-hub-long-eaton,hiya@thetransformhub.co.uk,Transform Hub Long Eaton team,verified_public,https://thetransformhub.co.uk/,Published on the official website; location page currently displays incorrect Cheltenham content
Long Eaton Art Room,long-eaton-art-room,info@longeatonartroom.co.uk,Long Eaton Art Room team,verified_public,https://register-of-charities.charitycommission.gov.uk/charity-search/-/charity-details/4050260/contact-information,Published by the Charity Commission
Long Eaton BJJ,long-eaton-bjj,,Long Eaton BJJ team,no_public_email,https://www.longeatonbjj.co.uk/,Official website does not publish an email
Duchess Theatre,duchess-theatre,info@duchess-theatre.com,Duchess Theatre team,verified_public,https://www.duchess-theatre.com/contact-us,Published on the official contact page
